idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc
CV924,Male,7.0,5.0,4,21.5,1457.5,4843.75,8.0,Moderate,Yes,RURAL,364.375,1210.9375
CV931,Male,5.0,10.0,4,18.0,1524.58,777.3924999999999,6.0,Moderate,No,RURAL,381.145,194.34812499999998
CV977,Female,7.0,5.0,3,28.0,2250.0,118.75,8.0,Mild,No,RURAL,750.0,39.583333333333336
CV1637,Male,6.0,5.0,7,14.0,2055.0,4441.25,8.0,Moderate,No,RURAL,293.57142857142856,634.4642857142857
CV915,Female,7.0,9.0,4,29.75,2210.0,4020.5,9.0,Severe,Yes,RURAL,552.5,1005.125
CV1755,Female,6.0,8.0,7,22.857142857142858,1390.0,2472.0,7.0,Severe,Yes,RURAL,198.57142857142858,353.14285714285717
CV909,Male,6.0,11.0,5,18.4,1474.0,1057.75,7.0,Moderate,No,RURAL,294.8,211.55
CV1296,Male,6.0,10.0,4,26.0,1094.0,522.0,9.0,Moderate,No,RURAL,273.5,130.5
CV1121,Female,6.0,11.0,7,31.714285714285715,5504.5,2590.8325000000004,8.0,Moderate,Yes,RURAL,786.3571428571429,370.1189285714286
CV1758,Male,7.0,9.0,7,28.428571428571427,2030.0,506.25,7.0,None,No,RURAL,290.0,72.32142857142857
CV923,Male,6.0,5.0,6,20.166666666666668,141.0,387.75,5.0,Severe,No,RURAL,23.5,64.625
CV910,Male,6.0,10.0,8,28.625,2082.0,13953.0,8.0,Mild,Yes,RURAL,260.25,1744.125
CV1168,Female,5.0,7.0,9,24.666666666666668,3342.0,52.5,7.0,Moderate,No,RURAL,371.3333333333333,5.833333333333333
CV1471,Male,7.0,7.0,6,17.333333333333332,1028.0,1283.75,7.0,Severe,Yes,RURAL,171.33333333333334,213.95833333333334
CV1463,Female,7.0,9.0,5,18.4,2044.0,1436.75,9.0,Moderate,No,RURAL,408.8,287.35
CV1004,Female,6.0,9.0,8,15.25,1081.0,532.5,7.0,Severe,Yes,RURAL,135.125,66.5625
CV1304,Male,6.0,11.0,4,34.0,1927.0,4795.0,9.0,None,Yes,RURAL,481.75,1198.75
CV1662,Male,6.0,9.0,10,26.6,1547.0,2140.25,9.0,Moderate,No,RURAL,154.7,214.025
CV1385,Male,6.0,10.0,8,18.875,10222.0,1092.5,8.0,Severe,Yes,RURAL,1277.75,136.5625
CV1305,Male,6.0,14.0,8,16.375,1817.0,125.0,7.0,Severe,No,RURAL,227.125,15.625
CV1629,Male,3.0,5.0,13,34.8,3945.0,4046.25,9.0,Severe,No,RURAL,303.46153846153845,311.25
CV1665,Male,6.0,6.0,7,15.0,1756.0,5169.0,7.0,Severe,No,RURAL,250.85714285714286,738.4285714285714
CV983,Female,7.0,5.0,3,32.333333333333336,1971.0,1211.0,8.0,None,No,RURAL,657.0,403.6666666666667
CV1462,Male,3.0,10.0,6,18.333333333333332,3619.0,2413.0,9.0,Moderate,Yes,RURAL,603.1666666666666,402.1666666666667
CV1468,Female,6.0,6.0,5,22.0,1577.5,2371.25,9.0,Severe,No,RURAL,315.5,474.25
CV929,Male,7.0,6.0,4,16.0,1713.5,352.5,8.0,Moderate,No,RURAL,428.375,88.125
CV1473,Female,4.0,10.0,6,22.5,2406.0,3712.5,8.0,None,Yes,RURAL,401.0,618.75
CV1000,Female,8.0,11.0,5,22.2,3122.0,4438.185000000001,9.0,None,No,RURAL,624.4,887.6370000000003
CV1518,Male,7.0,10.0,6,20.5,1716.0,2293.75,9.0,Moderate,Yes,RURAL,286.0,382.2916666666667
CV1614,Male,8.0,11.0,6,32.833333333333336,1969.0,791.25,7.0,Mild,Yes,RURAL,328.1666666666667,131.875
CV994,Female,5.0,11.0,3,24.666666666666668,1802.5,2920.0,9.0,Mild,No,RURAL,600.8333333333334,973.3333333333334
CV1220,Male,6.0,9.0,7,19.571428571428573,2038.0,2962.5,8.0,Severe,Yes,RURAL,291.14285714285717,423.2142857142857
CV914,Male,7.0,5.0,3,29.333333333333332,1135.0,318.0,7.0,Severe,No,RURAL,378.3333333333333,106.0
CV1300,Male,8.0,5.0,5,15.8,1478.0,1359.25,6.0,Severe,No,RURAL,295.6,271.85
CV1654,Female,6.0,5.0,7,29.142857142857142,8830.0,700.0,8.0,Moderate,No,RURAL,1261.4285714285713,100.0
CV845,Male,3.0,10.0,4,19.75,2422.0,465.5,7.0,Severe,No,RURAL,605.5,116.375
CV1234,Female,6.0,6.0,6,22.666666666666668,4406.0,7447.8325,9.0,Moderate,No,RURAL,734.3333333333334,1241.3054166666668
CV1737,Male,5.0,5.0,7,30.857142857142858,1849.0,14824.0,8.0,Moderate,No,RURAL,264.14285714285717,2117.714285714286
CV1472,Female,7.0,10.0,6,18.333333333333332,2863.0,12371.75,9.0,Moderate,Yes,RURAL,477.1666666666667,2061.9583333333335
CV1521,Female,5.0,11.0,5,45.2,2640.5,2551.0825000000004,8.0,None,No,RURAL,528.1,510.2165000000001
CV1526,Male,7.0,10.0,7,22.714285714285715,2985.0,36175.0,9.0,None,No,RURAL,426.42857142857144,5167.857142857143
CV1162,Male,6.0,13.0,5,25.6,7180.0,14726.5,8.0,Severe,No,RURAL,1436.0,2945.3
CV908,Male,6.0,12.0,6,15.5,2328.0,1657.5,8.0,Severe,Yes,RURAL,388.0,276.25
CV840,Male,6.0,9.0,5,13.0,1807.0,13554.75,9.0,Moderate,No,RURAL,361.4,2710.95
CV1748,Male,6.0,6.0,8,31.5,1074.0,575.0,8.0,Severe,,RURAL,134.25,71.875
CV1648,Female,3.0,7.0,8,17.875,4590.0,1590.0,9.0,Severe,Yes,RURAL,573.75,198.75
CV799,Male,6.0,10.0,3,25.666666666666668,527.0,249.66750000000002,8.0,Moderate,Yes,RURAL,175.66666666666666,83.22250000000001
CV1131,Female,6.0,5.0,5,20.6,1068.0,362.25,9.0,Moderate,No,RURAL,213.6,72.45
CV1527,Female,4.0,7.0,5,20.6,4469.0,1822.9250000000002,9.0,Severe,Yes,RURAL,893.8,364.58500000000004
CV1747,Female,6.0,5.0,7,18.142857142857142,1511.0,1297.5,9.0,Severe,No,RURAL,215.85714285714286,185.35714285714286
CV1115,Female,4.0,9.0,5,39.2,2265.0,26086.239999999998,8.0,None,No,RURAL,453.0,5217.248
CV1310,Male,6.0,10.0,5,25.2,677.0,1255.0,8.0,None,No,RURAL,135.4,251.0
CV1218,Female,7.0,5.0,4,23.5,1301.0,535.0,8.0,Moderate,Yes,RURAL,325.25,133.75
CV795,Male,5.0,12.0,3,20.666666666666668,505.0,1449.5,5.0,Moderate,Yes,RURAL,168.33333333333334,483.1666666666667
CV1650,Male,6.0,5.0,6,23.166666666666668,1679.0,1843.75,9.0,Moderate,Yes,RURAL,279.8333333333333,307.2916666666667
CV1380,Female,8.0,5.0,5,33.0,1305.0,715.0,8.0,Moderate,No,RURAL,261.0,143.0
CV1714,Male,5.0,7.0,8,16.125,1774.0,707.0825,8.0,Mild,Yes,RURAL,221.75,88.3853125
CV1311,Female,5.0,7.0,8,18.857142857142858,1123.0,65.0,4.0,Severe,No,RURAL,140.375,8.125
CV1809,Female,6.0,7.0,11,22.727272727272727,6476.0,2740.25,8.0,Moderate,Yes,RURAL,588.7272727272727,249.11363636363637
CV431,Male,3.0,5.0,4,13.333333333333334,2862.0,973.25,9.0,Moderate,No,RURAL,715.5,243.3125
CV671,Female,6.0,12.0,3,30.0,1230.0,638.75,7.0,Moderate,Yes,RURAL,410.0,212.91666666666666
