idx,BEN_STATUS
CV924,Non-Ben
CV931,Non-Ben
CV977,Non-Ben
CV915,Non-Ben
CV1755,Non-Ben
CV909,Non-Ben
CV1296,Non-Ben
CV1121,Non-Ben
CV1758,Non-Ben
CV923,Ben
CV910,Ben
CV1168,Ben
CV1471,Ben
CV1463,Ben
CV1004,Ben
CV1304,Ben
CV1662,Ben
CV1385,Ben
CV1305,Ben
CV1629,Non-Ben
CV1665,Non-Ben
CV983,Non-Ben
CV1462,Non-Ben
CV1468,Non-Ben
CV929,Non-Ben
CV1473,Non-Ben
CV1000,Non-Ben
CV1518,Non-Ben
CV1614,Non-Ben
CV994,Non-Ben
CV1220,Non-Ben
CV914,Ben
CV1300,Ben
CV1654,Ben
CV845,Ben
CV1737,Ben
CV1472,Ben
CV1526,Ben
CV1162,Ben
CV908,Ben
CV840,Non-Ben
CV1748,Non-Ben
CV1648,Non-Ben
CV799,Non-Ben
CV1131,Non-Ben
CV1527,Non-Ben
CV1747,Non-Ben
CV1115,Non-Ben
CV1310,Non-Ben
CV1218,Ben
CV1650,Ben
CV1380,Ben
CV1714,Ben
CV1311,Ben
CV1809,Ben
CV431,Ben
CV1388,Ben
CV1383,Non-Ben
CV1382,Non-Ben
CV1118,Non-Ben
CV1275,Non-Ben
CV966,Non-Ben
CV1129,Non-Ben
CV1130,Non-Ben
CV1389,Non-Ben
CV1409,Non-Ben
CV1156,Non-Ben
CV964,Non-Ben
CV1414,Ben
CV906,Ben
CV1381,Ben
CV1216,Ben
CV1157,Ben
CV1456,Ben
CV1408,Ben
CV1152,Ben
CV881,Ben
CV1745,Ben
CV971,Ben
CV1127,Ben
CV1713,Non-Ben
CV873,Non-Ben
CV1232,Non-Ben
CV978,Non-Ben
CV990,Non-Ben
CV919,Ben
CV1231,Non-Ben
CV1418,Non-Ben
CV1453,Non-Ben
CV1208,Non-Ben
CV804,Non-Ben
CV1416,Non-Ben
CV1511,Non-Ben
CV1828,Non-Ben
CV763,Non-Ben
CV1112,Non-Ben
CV962,Non-Ben
CV899,Non-Ben
CV767,Non-Ben
CV879,Non-Ben
CV1695,Non-Ben
CV766,Non-Ben
CV765,Non-Ben
CV1608,Non-Ben
CV1431,Non-Ben
CV1209,Non-Ben
CV1446,Non-Ben
CV1417,Non-Ben
CV1286,Non-Ben
CV1707,Non-Ben
