idx,SEX_AGE
CV924,Male_5
CV931,Male_10
CV977,Female_5
CV915,Female_9
CV1755,Female_8
CV909,Male_11
CV1296,Male_10
CV1121,Female_11
CV1758,Male_9
CV923,Male_5
CV910,Male_10
CV1168,Female_7
CV1471,Male_7
CV1463,Female_9
CV1004,Female_9
CV1304,Male_11
CV1662,Male_9
CV1385,Male_10
CV1305,Male_14
CV1629,Male_5
CV1665,Male_6
CV983,Female_5
CV1462,Male_10
CV1468,Female_6
CV929,Male_6
CV1473,Female_10
CV1000,Female_11
CV1518,Male_10
CV1614,Male_11
CV994,Female_11
CV1220,Male_9
CV914,Male_5
CV1300,Male_5
CV1654,Female_5
CV845,Male_10
CV1737,Male_5
CV1472,Female_10
CV1526,Male_10
CV1162,Male_13
CV908,Male_12
CV840,Male_9
CV1748,Male_6
CV1648,Female_7
CV799,Male_10
CV1131,Female_5
CV1527,Female_7
CV1747,Female_5
CV1115,Female_9
CV1310,Male_10
CV1218,Female_5
CV1650,Male_5
CV1380,Female_5
CV1714,Male_7
CV1311,Female_7
CV1809,Female_7
CV431,Male_5
CV1388,Female_11
CV1383,Male_5
CV1382,Male_5
CV1118,Male_5
CV1275,Female_6
CV966,Female_8
CV1129,Male_6
CV1130,Male_7
CV1389,Male_12
CV1409,Male_9
CV1156,Male_4
CV964,Male_5
CV1414,Male_5
CV906,Female_5
CV1381,Female_5
CV1216,Male_8
CV1157,Female_6
CV1456,Female_8
CV1408,Male_11
CV1152,Female_7
CV881,Female_9
CV1745,Male_12
CV971,Female_12
CV1127,Male_5
CV1713,Male_11
CV873,Female_5
CV1232,Male_8
CV978,Male_8
CV990,Female_8
CV919,Male_11
CV1231,Male_6
CV1418,Female_7
CV1453,Male_5
CV1208,Male_8
CV804,Female_7
CV1416,Female_5
CV1511,Male_8
CV1828,Female_9
CV763,Male_6
CV1112,Female_6
CV962,Male_6
CV899,Female_9
CV767,Male_11
CV879,Female_11
CV1695,Male_11
CV766,Male_12
CV765,Male_11
CV1608,Male_5
CV1431,Female_12
CV1209,Male_9
CV1446,Female_8
CV1417,Female_10
CV1286,Female_9
CV1707,Male_5
CV1387,Female_11
CV1230,Female_5
CV1123,Male_9
CV981,Female_8
CV1169,Female_10
CV1751,Female_7
CV1623,Male_8
CV1620,Male_9
CV1753,Female_5
CV1420,Female_5
CV847,Female_7
CV979,Female_9
CV1171,Male_8
CV1295,Female_11
CV1141,Male_10
CV1613,Male_10
CV1493,Male_6
CV1622,Female_8
CV1194,Male_7
CV791,Female_10
CV1273,Male_10
CV1834,Male_12
CV792,Male_14
CV833,Male_13
CV1228,Female_5
CV1229,Male_5
CV1196,Male_6
CV823,Female_9
CV1796,Male_8
CV1289,Female_10
CV1786,Female_5
CV989,Male_11
CV1085,Female_5
CV938,Male_5
CV829,Male_7
CV1402,Male_9
CV1481,Female_5
CV934,Female_12
CV789,Male_8
CV936,Female_5
CV1730,Male_5
CV1479,Female_5
CV761,Male_6
CV944,Male_6
CV1245,Female_10
CV1742,Male_10
CV941,Male_12
CV1435,Male_10
CV937,Male_6
CV897,Male_8
CV953,Female_12
CV1251,Female_22
CV935,Male_9
CV1363,Male_6
CV1086,Male_9
CV959,Male_10
CV693,Male_8
CV1567,Male_5
CV948,Female_6
CV677,Female_6
CV1014,Male_10
CV1096,Male_11
CV1099,Female_11
CV1260,Male_8
CV772,Male_10
CV1864,Male_11
CV1482,Male_5
CV1259,Female_5
CV1639,Female_6
CV1011,Male_10
CV1512,Female_11
CV1013,Male_10
CV1324,Female_11
CV1316,Female_5
CV1568,Female_8
CV951,Female_7
CV675,Female_8
CV1535,Female_10
CV679,Female_6
CV771,Female_8
CV1872,Female_7
CV1317,Male_6
CV617,Male_6
CV1255,Female_8
CV890,Male_6
CV1856,Male_5
CV862,Male_5
CV1175,Male_8
CV856,Female_6
CV1784,Female_10
CV1203,Male_10
CV816,Male_11
CV1603,Male_11
CV1440,Female_13
CV1583,Male_5
CV1201,Male_5
CV1720,Female_5
CV1173,Female_7
CV1790,Male_7
CV1132,Female_9
CV818,Female_10
CV830,Male_13
CV864,Male_11
CV1616,Female_13
CV870,Male_5
CV814,Male_5
CV861,Male_7
CV1443,Female_7
CV526,Male_8
CV1602,Female_12
CV857,Male_11
CV1183,Male_5
CV1429,Male_5
CV815,Male_5
CV1176,Male_8
CV551,Female_7
CV1149,Male_11
CV854,Male_12
CV1036,Female_5
CV779,Female_5
CV1057,Female_5
CV778,Male_8
CV688,Male_7
CV687,Male_8
CV1101,Female_10
CV1017,Male_11
CV783,Female_18
CV1056,Female_5
CV1827,Female_5
CV1571,Female_5
CV775,Male_7
CV352,Male_8
CV689,Male_7
CV440,Female_10
CV1018,Male_10
CV692,Male_8
CV1031,Female_14
CV1328,Female_5
CV1023,Female_5
CV1029,Male_6
CV701,Female_8
CV1030,Male_7
CV1019,Female_5
CV1876,Male_10
CV703,Female_10
CV1770,Female_6
CV720,Male_9
CV733,Male_5
CV721,Female_5
CV1053,Female_7
CV1546,Female_7
CV1042,Male_9
CV1049,Male_10
CV785,Female_10
CV714,Female_8
CV1767,Female_16
