idx,CHILD_SEX,IDD_SCORE,AGE,HHID_count,HH_AGE,FOOD_EXPENSE_WEEKLY,NON-FOOD_EXPENSE_WEEKLY,HDD_SCORE,FOOD_INSECURITY,YoungBoys,YoungGirls,AverageMonthlyIncome,BEN_4PS,AREA_TYPE,FOOD_EXPENSE_WEEKLY_pc,NON-FOOD_EXPENSE_WEEKLY_pc,AverageMonthlyIncome_pc
CV924,0,7,5,4,21.5,1457.5,4843.75,8,3,1,0,3,2,0,364.375,1210.9375,0.75
CV931,0,5,10,4,18,1524.58,777.3925,6,3,0,1,2,1,0,381.145,194.348125,0.5
CV977,1,7,5,3,28,2250,118.75,8,2,0,1,4,1,0,750,39.58333333,1.333333333
CV915,1,7,9,4,29.75,2210,4020.5,9,4,-999,-999,2,2,0,552.5,1005.125,0.5
CV1755,1,6,8,7,22.85714286,1390,2472,7,4,-999,-999,1,2,0,198.5714286,353.1428571,0.142857143
CV909,0,6,11,5,18.4,1474,1057.75,7,3,1,0,2,1,0,294.8,211.55,0.4
CV1296,0,6,10,4,26,1094,522,9,3,-999,-999,3,1,0,273.5,130.5,0.75
CV1121,1,6,11,7,31.71428571,5504.5,2590.8325,8,3,-999,-999,2,2,0,786.3571429,370.1189286,0.285714286
CV1758,0,7,9,7,28.42857143,2030,506.25,7,1,-999,-999,3,1,0,290,72.32142857,0.428571429
CV923,0,6,5,6,20.16666667,141,387.75,5,4,1,0,1,1,0,23.5,64.625,0.166666667
CV910,0,6,10,8,28.625,2082,13953,8,2,1,0,3,2,0,260.25,1744.125,0.375
CV1168,1,5,7,9,24.66666667,3342,52.5,7,3,2,0,4,1,0,371.3333333,5.833333333,0.444444444
CV1471,0,7,7,6,17.33333333,1028,1283.75,7,4,1,0,2,2,0,171.3333333,213.9583333,0.333333333
CV1463,1,7,9,5,18.4,2044,1436.75,9,3,-999,-999,2,1,0,408.8,287.35,0.4
CV1004,1,6,9,8,15.25,1081,532.5,7,4,0,1,1,2,0,135.125,66.5625,0.125
CV1304,0,6,11,4,34,1927,4795,9,1,-999,-999,4,2,0,481.75,1198.75,1
CV1662,0,6,9,10,26.6,1547,2140.25,9,3,1,1,3,1,0,154.7,214.025,0.3
CV1385,0,6,10,8,18.875,10222,1092.5,8,4,1,2,1,2,0,1277.75,136.5625,0.125
CV1305,0,6,14,8,16.375,1817,125,7,4,2,0,1,1,0,227.125,15.625,0.125
