LAYERS,ACCURACY_ALL,ACCURACY_MEAN,ACCURACY_STDEV,SENSITIVITY_ALL,SENSITIVITY_MEAN,SENSITIVITY_STDEV,SPECIFICITY_ALL,SPECIFICITY_MEAN,SPECIFICITY_STDEV
[1],"[0.8709677419354839, 0.6451612903225806, 0.7741935483870968, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.16666666666666666, 0.6, 0.8333333333333334, 0.8333333333333334]",0.7223655913978494,0.20397869301264013,"[0.9615384615384616, 0.72, 0.96, 1.0, 1.0, 1.0, 0.0, 0.68, 1.0, 1.0]",0.8321538461538461,0.3003591144499133,"[0.4, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 1.0, 0.2, 0.0, 0.0]",0.19333333333333333,0.30615900008546754
[2],"[0.8387096774193549, 0.3548387096774194, 0.8064516129032258, 0.8333333333333334, 0.8, 0.8333333333333334, 0.8, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666]",0.74,0.1387795106366633,"[1.0, 0.32, 1.0, 1.0, 0.96, 1.0, 0.96, 0.88, 0.88, 0.72]",0.8720000000000001,0.20222759455623257,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4]",0.09,0.18138357147217055
[3],"[0.7741935483870968, 0.7419354838709677, 0.5161290322580645, 0.8333333333333334, 0.6333333333333333, 0.7666666666666667, 0.7333333333333333, 0.6666666666666666, 0.8, 0.6666666666666666]",0.7132258064516129,0.08906322509608629,"[0.9230769230769231, 0.92, 0.64, 1.0, 0.72, 0.88, 0.8, 0.8, 0.96, 0.76]",0.8403076923076924,0.10904165644484995,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.0, 0.0, 0.2]",0.1,0.1341640786499874
[4],"[0.6774193548387096, 0.6451612903225806, 0.6451612903225806, 0.7333333333333333, 0.8333333333333334, 0.8, 0.43333333333333335, 0.8333333333333334, 0.7333333333333333, 0.6]",0.6934408602150538,0.11618223592088979,"[0.8076923076923077, 0.8, 0.76, 0.88, 0.96, 0.92, 0.36, 1.0, 0.88, 0.56]",0.7927692307692308,0.18577845175394986,"[0.0, 0.0, 0.16666666666666666, 0.0, 0.2, 0.2, 0.8, 0.0, 0.0, 0.8]",0.2166666666666667,0.30304015135511886
[5],"[0.7419354838709677, 0.6774193548387096, 0.7096774193548387, 0.7666666666666667, 0.7, 0.7, 0.7, 0.7, 0.8333333333333334, 0.8333333333333334]",0.7362365591397848,0.05406592328431137,"[0.8461538461538461, 0.76, 0.88, 0.92, 0.76, 0.8, 0.84, 0.76, 0.92, 1.0]",0.8486153846153848,0.07752136563669086,"[0.2, 0.3333333333333333, 0.0, 0.0, 0.4, 0.2, 0.0, 0.4, 0.4, 0.0]",0.1933333333333333,0.1724335620850342
[6],"[0.8064516129032258, 0.7419354838709677, 0.8387096774193549, 0.8333333333333334, 0.7666666666666667, 0.6666666666666666, 0.7, 0.6333333333333333, 0.7666666666666667, 0.7666666666666667]",0.7520430107526882,0.06474011298383285,"[0.9615384615384616, 0.92, 0.96, 1.0, 0.84, 0.76, 0.84, 0.72, 0.88, 0.92]",0.8801538461538462,0.08593502430538358,"[0.0, 0.0, 0.3333333333333333, 0.0, 0.4, 0.2, 0.0, 0.2, 0.2, 0.0]",0.13333333333333333,0.14605934866804432
[7],"[0.7741935483870968, 0.6451612903225806, 0.7419354838709677, 0.8333333333333334, 0.7333333333333333, 0.6666666666666666, 0.8333333333333334, 0.6666666666666666, 0.7333333333333333, 0.8333333333333334]",0.7461290322580645,0.06838819570362066,"[0.8846153846153846, 0.8, 0.92, 1.0, 0.84, 0.8, 1.0, 0.68, 0.84, 1.0]",0.8764615384615386,0.10034744375147589,"[0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.6, 0.2, 0.0]",0.12,0.18330302779823363
[8],"[0.7096774193548387, 0.6774193548387096, 0.7741935483870968, 0.7, 0.8666666666666667, 0.7, 0.7666666666666667, 0.8333333333333334, 0.9, 0.7666666666666667]",0.7694623655913979,0.07232044158635395,"[0.8461538461538461, 0.84, 0.88, 0.8, 1.0, 0.8, 0.92, 0.88, 1.0, 0.88]",0.8846153846153847,0.06762584149472613,"[0.0, 0.0, 0.3333333333333333, 0.2, 0.2, 0.2, 0.0, 0.6, 0.4, 0.2]",0.21333333333333332,0.1833030277982336
[9],"[0.7741935483870968, 0.8064516129032258, 0.7419354838709677, 0.7666666666666667, 0.6666666666666666, 0.5666666666666667, 0.7, 0.7666666666666667, 0.6666666666666666, 0.7]",0.7155913978494624,0.06712166963011691,"[0.8461538461538461, 1.0, 0.92, 0.92, 0.76, 0.68, 0.84, 0.88, 0.76, 0.84]",0.8446153846153847,0.08844481447264499,"[0.4, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.2, 0.0]",0.1,0.1341640786499874
[10],"[0.7096774193548387, 0.5806451612903226, 0.5483870967741935, 0.8, 0.6, 0.8, 0.7, 0.5666666666666667, 0.8666666666666667, 0.6]",0.6772043010752687,0.10848263411911879,"[0.8461538461538461, 0.68, 0.68, 0.96, 0.72, 0.96, 0.76, 0.64, 0.96, 0.64]",0.7846153846153846,0.12828223322403903,"[0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.4, 0.2, 0.4, 0.4]",0.15666666666666668,0.17387735140993302
