LAYERS,ACCURACY_ALL,ACCURACY_MEAN,ACCURACY_STDEV,SENSITIVITY_ALL,SENSITIVITY_MEAN,SENSITIVITY_STDEV,SPECIFICITY_ALL,SPECIFICITY_MEAN,SPECIFICITY_STDEV
[1],"[0.7096774193548387, 0.8064516129032258, 0.8064516129032258, 0.8666666666666667, 0.8, 0.16666666666666666, 0.8666666666666667, 0.2, 0.16666666666666666, 0.7666666666666667]",0.6155913978494624,0.28989624211837883,"[0.8461538461538461, 1.0, 1.0, 1.0, 0.96, 0.0, 1.0, 0.04, 0.08, 0.88]",0.6806153846153846,0.42280058107924445,"[0.0, 0.0, 0.0, 0.2, 0.0, 1.0, 0.2, 1.0, 0.6, 0.2]",0.32000000000000006,0.38157568056677826
[2],"[0.6451612903225806, 0.45161290322580644, 0.25806451612903225, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.16666666666666666, 0.8666666666666667, 0.26666666666666666]",0.39881720430107526,0.2690744790365991,"[0.7692307692307693, 0.44, 0.08, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.16]",0.344923076923077,0.40343483815735753,"[0.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.2, 0.8]",0.65,0.4129164564412516
[3],"[0.22580645161290322, 0.1935483870967742, 0.8064516129032258, 0.5666666666666667, 0.3, 0.8333333333333334, 0.8333333333333334, 0.5666666666666667, 0.8333333333333334, 0.7]",0.5859139784946237,0.2472685562892217,"[0.07692307692307693, 0.04, 1.0, 0.56, 0.16, 1.0, 1.0, 0.68, 1.0, 0.84]",0.6356923076923077,0.3838841047987787,"[1.0, 0.8333333333333334, 0.0, 0.6, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.3433333333333334,0.43308967508665763
[4],"[0.5161290322580645, 0.7419354838709677, 0.6451612903225806, 0.23333333333333334, 0.4666666666666667, 0.6, 0.7, 0.4, 0.7333333333333333, 0.4666666666666667]",0.5503225806451614,0.15566595028954394,"[0.5769230769230769, 0.92, 0.72, 0.12, 0.36, 0.6, 0.72, 0.4, 0.88, 0.44]",0.5736923076923077,0.23596855672591976,"[0.2, 0.0, 0.3333333333333333, 0.8, 1.0, 0.6, 0.6, 0.4, 0.0, 0.6]",0.4533333333333333,0.31240998703626616
[5],"[0.3548387096774194, 0.5483870967741935, 0.45161290322580644, 0.16666666666666666, 0.43333333333333335, 0.43333333333333335, 0.4, 0.3333333333333333, 0.43333333333333335, 0.5333333333333333]",0.40881720430107527,0.10292945812312515,"[0.2692307692307692, 0.56, 0.48, 0.0, 0.4, 0.36, 0.32, 0.24, 0.48, 0.56]",0.36692307692307696,0.16240682353694672,"[0.8, 0.5, 0.3333333333333333, 1.0, 0.6, 0.8, 0.8, 0.8, 0.2, 0.4]",0.6233333333333333,0.2440628334398064
[6],"[0.25806451612903225, 0.6774193548387096, 0.5161290322580645, 0.23333333333333334, 0.7333333333333333, 0.8, 0.4, 0.6666666666666666, 0.6666666666666666, 0.7666666666666667]",0.5718279569892474,0.19771196718422876,"[0.19230769230769232, 0.68, 0.52, 0.08, 0.84, 0.92, 0.36, 0.72, 0.8, 0.84]",0.5952307692307692,0.27906729692498505,"[0.6, 0.6666666666666666, 0.5, 1.0, 0.2, 0.2, 0.6, 0.4, 0.0, 0.4]",0.45666666666666667,0.26999999999999996
[7],"[0.5161290322580645, 0.5483870967741935, 0.5806451612903226, 0.6, 0.36666666666666664, 0.5, 0.6333333333333333, 0.36666666666666664, 0.4666666666666667, 0.43333333333333335]",0.5011827956989248,0.08830628385771533,"[0.5769230769230769, 0.56, 0.64, 0.6, 0.4, 0.52, 0.72, 0.32, 0.48, 0.44]",0.5256923076923077,0.11301159808521932,"[0.2, 0.5, 0.3333333333333333, 0.6, 0.2, 0.4, 0.2, 0.6, 0.4, 0.4]",0.3833333333333333,0.14548768561863462
[8],"[0.41935483870967744, 0.6451612903225806, 0.4838709677419355, 0.5666666666666667, 0.6333333333333333, 0.5, 0.7666666666666667, 0.6666666666666666, 0.5333333333333333, 0.6666666666666666]",0.5881720430107527,0.10004623743166964,"[0.4230769230769231, 0.64, 0.44, 0.64, 0.76, 0.52, 0.92, 0.68, 0.52, 0.72]",0.6263076923076922,0.14655402703520873,"[0.4, 0.6666666666666666, 0.6666666666666666, 0.2, 0.0, 0.4, 0.0, 0.6, 0.6, 0.4]",0.39333333333333337,0.24120070020167386
[9],"[0.6129032258064516, 0.7096774193548387, 0.5161290322580645, 0.5666666666666667, 0.6, 0.36666666666666664, 0.6666666666666666, 0.6666666666666666, 0.5666666666666667, 0.3333333333333333]",0.560537634408602,0.11845836925624693,"[0.6923076923076923, 0.76, 0.44, 0.64, 0.6, 0.36, 0.72, 0.72, 0.6, 0.28]",0.5812307692307692,0.1570343496890044,"[0.2, 0.5, 0.8333333333333334, 0.2, 0.6, 0.4, 0.4, 0.4, 0.4, 0.6]",0.4533333333333333,0.1814754345175493
[10],"[0.6129032258064516, 0.3225806451612903, 0.45161290322580644, 0.4666666666666667, 0.43333333333333335, 0.6666666666666666, 0.43333333333333335, 0.36666666666666664, 0.5, 0.43333333333333335]",0.4687096774193549,0.09837440425797424,"[0.6538461538461539, 0.36, 0.4, 0.4, 0.32, 0.64, 0.4, 0.28, 0.44, 0.48]",0.43738461538461537,0.11766978165524443,"[0.4, 0.16666666666666666, 0.6666666666666666, 0.8, 1.0, 0.8, 0.6, 0.8, 0.8, 0.2]",0.6233333333333333,0.2658529250878722
