LAYERS,ACCURACY_ALL,ACCURACY_MEAN,ACCURACY_STDEV,SENSITIVITY_ALL,SENSITIVITY_MEAN,SENSITIVITY_STDEV,SPECIFICITY_ALL,SPECIFICITY_MEAN,SPECIFICITY_STDEV
[1],"[0.8387096774193549, 0.8064516129032258, 0.1935483870967742, 0.5666666666666667, 0.8, 0.2, 0.16666666666666666, 0.16666666666666666, 0.8, 0.8333333333333334]",0.5372043010752687,0.29941369462205397,"[1.0, 1.0, 0.0, 0.64, 0.96, 0.04, 0.0, 0.0, 0.96, 1.0]",0.5599999999999999,0.4602607956365608,"[0.0, 0.0, 1.0, 0.2, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0.42000000000000004,0.47707441767506253
[2],"[0.8064516129032258, 0.1935483870967742, 0.8387096774193549, 0.3, 0.8, 0.2, 0.8333333333333334, 0.8333333333333334, 0.5, 0.16666666666666666]",0.5472043010752689,0.2887213709812261,"[0.8846153846153846, 0.0, 1.0, 0.2, 0.96, 0.04, 1.0, 1.0, 0.52, 0.0]",0.5604615384615383,0.43300958623932095,"[0.4, 1.0, 0.16666666666666666, 0.8, 0.0, 1.0, 0.0, 0.0, 0.4, 1.0]",0.4766666666666667,0.4142060678776528
[3],"[0.7419354838709677, 0.3548387096774194, 0.8064516129032258, 0.23333333333333334, 0.36666666666666664, 0.23333333333333334, 0.7, 0.8333333333333334, 0.5333333333333333, 0.7666666666666667]",0.5569892473118279,0.22899186881997158,"[0.8846153846153846, 0.2, 1.0, 0.08, 0.32, 0.08, 0.84, 0.96, 0.48, 0.88]",0.5724615384615384,0.3595305617775365,"[0.0, 1.0, 0.0, 1.0, 0.6, 1.0, 0.0, 0.2, 0.8, 0.2]",0.48,0.4214261501141096
[4],"[0.5483870967741935, 0.2903225806451613, 0.7741935483870968, 0.16666666666666666, 0.8, 0.2, 0.7666666666666667, 0.5, 0.6, 0.5666666666666667]",0.5212903225806451,0.22217603867416366,"[0.5384615384615384, 0.16, 0.92, 0.0, 0.92, 0.04, 0.88, 0.44, 0.56, 0.48]",0.4938461538461539,0.3291049364132931,"[0.6, 0.8333333333333334, 0.16666666666666666, 1.0, 0.2, 1.0, 0.2, 0.8, 0.8, 1.0]",0.66,0.32957885584822066
[5],"[0.6774193548387096, 0.45161290322580644, 0.1935483870967742, 0.5, 0.5, 0.5, 0.3333333333333333, 0.36666666666666664, 0.6666666666666666, 0.7333333333333333]",0.4922580645161291,0.15965899028367342,"[0.6923076923076923, 0.52, 0.0, 0.52, 0.44, 0.6, 0.2, 0.36, 0.76, 0.84]",0.4932307692307692,0.24366452833119537,"[0.6, 0.16666666666666666, 1.0, 0.4, 0.8, 0.0, 1.0, 0.4, 0.2, 0.2]",0.47666666666666674,0.3399509768579385
[6],"[0.7741935483870968, 0.7096774193548387, 0.5483870967741935, 0.36666666666666664, 0.5333333333333333, 0.6666666666666666, 0.8, 0.43333333333333335, 0.36666666666666664, 0.4666666666666667]",0.5665591397849462,0.15400871482144352,"[0.8846153846153846, 0.88, 0.64, 0.24, 0.6, 0.76, 0.88, 0.36, 0.4, 0.52]",0.6164615384615384,0.22268724585717886,"[0.2, 0.0, 0.16666666666666666, 1.0, 0.2, 0.2, 0.4, 0.8, 0.2, 0.2]",0.3366666666666667,0.2990540642314251
[7],"[0.4838709677419355, 0.45161290322580644, 0.5483870967741935, 0.3, 0.4666666666666667, 0.43333333333333335, 0.6666666666666666, 0.5666666666666667, 0.6666666666666666, 0.36666666666666664]",0.49505376344086016,0.11315098263930175,"[0.5384615384615384, 0.4, 0.64, 0.16, 0.52, 0.44, 0.76, 0.68, 0.72, 0.28]",0.5138461538461538,0.185893014978378,"[0.2, 0.6666666666666666, 0.16666666666666666, 1.0, 0.2, 0.4, 0.2, 0.0, 0.4, 0.8]",0.4033333333333333,0.3042111839568763
[8],"[0.5806451612903226, 0.5806451612903226, 0.6129032258064516, 0.4666666666666667, 0.5, 0.3333333333333333, 0.6666666666666666, 0.5666666666666667, 0.5, 0.5]",0.530752688172043,0.08798196138392736,"[0.5384615384615384, 0.68, 0.76, 0.4, 0.6, 0.2, 0.6, 0.6, 0.56, 0.44]",0.5378461538461539,0.14978517160632454,"[0.8, 0.16666666666666666, 0.0, 0.8, 0.0, 1.0, 1.0, 0.4, 0.2, 0.8]",0.5166666666666666,0.38449100552982163
[9],"[0.5161290322580645, 0.4838709677419355, 0.5161290322580645, 0.36666666666666664, 0.6666666666666666, 0.6333333333333333, 0.7666666666666667, 0.6333333333333333, 0.43333333333333335, 0.5666666666666667]",0.5582795698924731,0.11310458235073396,"[0.5, 0.52, 0.6, 0.32, 0.64, 0.56, 0.92, 0.68, 0.44, 0.48]",0.5660000000000001,0.15337535656030277,"[0.6, 0.3333333333333333, 0.16666666666666666, 0.6, 0.8, 1.0, 0.0, 0.4, 0.4, 1.0]",0.53,0.31778749013906904
[10],"[0.3225806451612903, 0.3225806451612903, 0.3548387096774194, 0.36666666666666664, 0.4666666666666667, 0.5666666666666667, 0.9, 0.4666666666666667, 0.6, 0.4666666666666667]",0.4833333333333333,0.1663745271754851,"[0.23076923076923078, 0.24, 0.36, 0.4, 0.52, 0.64, 0.96, 0.44, 0.72, 0.48]",0.49907692307692314,0.21299687471663345,"[0.8, 0.6666666666666666, 0.3333333333333333, 0.2, 0.2, 0.2, 0.6, 0.6, 0.0, 0.4]",0.4,0.2440400695696417
