LAYERS,ACCURACY_ALL,ACCURACY_MEAN,ACCURACY_STDEV,SENSITIVITY_ALL,SENSITIVITY_MEAN,SENSITIVITY_STDEV,SPECIFICITY_ALL,SPECIFICITY_MEAN,SPECIFICITY_STDEV
[1],"[0.8387096774193549, 0.1935483870967742, 0.22580645161290322, 0.16666666666666666, 0.8333333333333334, 0.2, 0.16666666666666666, 0.16666666666666666, 0.8333333333333334, 0.7666666666666667]",0.43913978494623657,0.3103942569553088,"[1.0, 0.0, 0.04, 0.0, 1.0, 0.04, 0.0, 0.0, 1.0, 0.84]",0.392,0.46606437323614425,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.4]",0.64,0.4543126676640219
[2],"[0.5806451612903226, 0.22580645161290322, 0.8064516129032258, 0.8333333333333334, 0.1, 0.8, 0.23333333333333334, 0.16666666666666666, 0.3, 0.5333333333333333]",0.45795698924731176,0.2724640585436134,"[0.6153846153846154, 0.04, 1.0, 1.0, 0.0, 0.88, 0.08, 0.04, 0.16, 0.44]",0.42553846153846153,0.39636705241062403,"[0.4, 1.0, 0.0, 0.0, 0.6, 0.4, 1.0, 0.8, 1.0, 1.0]",0.6199999999999999,0.38418745424597095
[3],"[0.25806451612903225, 0.41935483870967744, 0.25806451612903225, 0.5, 0.7333333333333333, 0.8333333333333334, 0.7333333333333333, 0.7333333333333333, 0.6666666666666666, 0.36666666666666664]",0.5502150537634408,0.2045369605979927,"[0.15384615384615385, 0.32, 0.08, 0.52, 0.88, 1.0, 0.84, 0.88, 0.8, 0.36]",0.5833846153846154,0.3199207002334638,"[0.8, 0.8333333333333334, 1.0, 0.4, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4]",0.36333333333333334,0.3707200201409864
[4],"[0.6774193548387096, 0.7741935483870968, 0.6451612903225806, 0.16666666666666666, 0.8333333333333334, 0.43333333333333335, 0.4, 0.6333333333333333, 0.43333333333333335, 0.16666666666666666]",0.5163440860215054,0.22249949172477315,"[0.6923076923076923, 0.88, 0.8, 0.0, 0.96, 0.44, 0.4, 0.64, 0.4, 0.0]",0.5212307692307693,0.3196364799110715,"[0.6, 0.3333333333333333, 0.0, 1.0, 0.2, 0.4, 0.4, 0.6, 0.6, 1.0]",0.5133333333333333,0.3026549190084311
[5],"[0.45161290322580644, 0.7419354838709677, 0.4838709677419355, 0.6, 0.5666666666666667, 0.23333333333333334, 0.5666666666666667, 0.5, 0.6666666666666666, 0.5333333333333333]",0.5344086021505376,0.12968562180945317,"[0.4230769230769231, 0.92, 0.48, 0.64, 0.64, 0.12, 0.6, 0.6, 0.72, 0.52]",0.5663076923076924,0.19777513978546385,"[0.6, 0.0, 0.5, 0.4, 0.2, 0.8, 0.4, 0.0, 0.4, 0.6]",0.39,0.2467792535850613
[6],"[0.5483870967741935, 0.3548387096774194, 0.5483870967741935, 0.7666666666666667, 0.5333333333333333, 0.23333333333333334, 0.2, 0.43333333333333335, 0.23333333333333334, 0.4]",0.42516129032258065,0.16989260922820193,"[0.5, 0.28, 0.56, 0.84, 0.6, 0.16, 0.08, 0.44, 0.12, 0.4]",0.398,0.228814335215257,"[0.8, 0.6666666666666666, 0.5, 0.4, 0.2, 0.6, 0.8, 0.4, 0.8, 0.4]",0.5566666666666668,0.19891371663780924
[7],"[0.45161290322580644, 0.4838709677419355, 0.6129032258064516, 0.16666666666666666, 0.8333333333333334, 0.23333333333333334, 0.5666666666666667, 0.6333333333333333, 0.4, 0.5]",0.4881720430107527,0.18425665391064722,"[0.5384615384615384, 0.48, 0.6, 0.04, 0.88, 0.28, 0.6, 0.76, 0.32, 0.56]",0.505846153846154,0.2301168213740359,"[0.0, 0.5, 0.6666666666666666, 0.8, 0.6, 0.0, 0.4, 0.0, 0.8, 0.2]",0.39666666666666667,0.31
[8],"[0.5483870967741935, 0.45161290322580644, 0.5806451612903226, 0.4, 0.5, 0.5666666666666667, 0.5666666666666667, 0.8, 0.3333333333333333, 0.7]",0.5447311827956989,0.129554677195251,"[0.5384615384615384, 0.48, 0.64, 0.36, 0.56, 0.6, 0.52, 0.88, 0.36, 0.76]",0.5698461538461539,0.15423826952796849,"[0.6, 0.3333333333333333, 0.3333333333333333, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.4]",0.42666666666666675,0.1793816539609828
[9],"[0.41935483870967744, 0.2903225806451613, 0.5483870967741935, 0.7, 0.7666666666666667, 0.6, 0.6333333333333333, 0.5, 0.5333333333333333, 0.6]",0.5591397849462365,0.12955092887594866,"[0.38461538461538464, 0.2, 0.64, 0.72, 0.88, 0.68, 0.72, 0.52, 0.56, 0.64]",0.5944615384615385,0.1819021129570101,"[0.6, 0.6666666666666666, 0.16666666666666666, 0.6, 0.2, 0.2, 0.2, 0.4, 0.4, 0.4]",0.3833333333333333,0.17966017304282486
[10],"[0.45161290322580644, 0.5483870967741935, 0.41935483870967744, 0.5, 0.4, 0.5, 0.7, 0.6666666666666666, 0.4666666666666667, 0.5333333333333333]",0.5186021505376344,0.09366208638598882,"[0.5384615384615384, 0.56, 0.48, 0.44, 0.4, 0.56, 0.72, 0.68, 0.4, 0.48]",0.5258461538461539,0.10353697564369836,"[0.0, 0.5, 0.16666666666666666, 0.8, 0.4, 0.2, 0.6, 0.6, 0.8, 0.8]",0.48666666666666664,0.27373953556863745
