Layers,Accuracy,Sensitivity,Specificity
[1],0.8084946155548096,0.9640000000000001,0.06000000000000001
[2],0.6656989231705666,0.776,0.13333333333333333
[3],0.7953763484954834,0.952,0.04
[4],0.7793548285961152,0.9243076923076924,0.07333333333333333
[5],0.7659139752388,0.8847692307692308,0.19333333333333336
[6],0.7793548345565796,0.881076923076923,0.2866666666666667
[7],0.7524731159210205,0.8769230769230768,0.15333333333333335
[8],0.746129035949707,0.8686153846153847,0.15333333333333335
[9],0.7394623637199402,0.8493846153846155,0.21000000000000002
[10],0.7291397839784622,0.8486153846153845,0.15666666666666668
[11],0.7232258021831512,0.8247692307692308,0.22999999999999998
[12],0.7586021482944488,0.8687692307692307,0.23666666666666666
[13],0.693548384308815,0.7824615384615384,0.2633333333333333
[14],0.7195698976516723,0.8200000000000001,0.23000000000000004
"[1, 1]",0.8188171923160553,0.9767692307692307,0.06000000000000001
"[1, 2]",0.7859139621257782,0.9280000000000002,0.09333333333333334
"[1, 3]",0.8318279445171356,0.9960000000000001,0.04
"[1, 4]",0.8219354689121247,0.9879999999999999,0.016666666666666666
"[1, 5]",0.72021504342556,0.8479999999999999,0.08666666666666667
"[1, 6]",0.7163440763950348,0.8261538461538462,0.2
"[1, 7]",0.8151612758636475,0.9800000000000001,0.02
"[1, 8]",0.8091397702693939,0.973076923076923,0.02
"[1, 9]",0.8284946084022522,0.9960000000000001,0.02
"[1, 10]",0.808494609594345,0.9641538461538461,0.06000000000000001
"[1, 11]",0.7988171935081482,0.9644615384615385,0.0
"[1, 12]",0.8218279421329499,0.992,0.0
"[1, 13]",0.8284946084022522,1.0,0.0
"[1, 14]",0.8184946119785309,0.9800000000000001,0.04
"[2, 1]",0.8187096655368805,0.976,0.05
"[2, 2]",0.7393548309803009,0.8569230769230769,0.17666666666666667
"[2, 3]",0.755268806219101,0.884,0.1366666666666667
"[2, 4]",0.7456989228725434,0.8809230769230769,0.1
"[2, 5]",0.7122580602765083,0.8126153846153846,0.24
"[2, 6]",0.8153763353824616,0.984,0.0
"[2, 7]",0.7832257986068726,0.9253846153846153,0.09666666666666665
"[2, 8]",0.815161281824112,0.9719999999999999,0.056666666666666664
"[2, 9]",0.7794623613357544,0.9375384615384614,0.02
"[2, 10]",0.7989247262477874,0.9480000000000001,0.06999999999999999
"[2, 11]",0.8054838597774505,0.9640000000000001,0.04
"[2, 12]",0.8083870828151702,0.968,0.03666666666666667
"[2, 13]",0.7984946131706238,0.9560000000000001,0.04
"[2, 14]",0.8088172018527985,0.9764615384615384,0.0
"[3, 1]",0.7894623517990113,0.9326153846153847,0.09
"[3, 2]",0.815161281824112,0.9800000000000001,0.02
"[3, 3]",0.7852688074111939,0.932,0.07666666666666667
"[3, 4]",0.7352688193321228,0.8721538461538462,0.08
"[3, 5]",0.7353763401508331,0.884,0.02
"[3, 6]",0.762365585565567,0.8606153846153847,0.29666666666666663
"[3, 7]",0.7694623529911041,0.9133846153846154,0.07666666666666667
"[3, 8]",0.792043000459671,0.9484615384615385,0.04
"[3, 9]",0.7188172101974487,0.8447692307692307,0.12
"[3, 10]",0.7796774089336396,0.9121538461538462,0.12666666666666665
"[3, 11]",0.6961290270090104,0.785076923076923,0.27666666666666667
"[3, 12]",0.7791397750377655,0.9243076923076924,0.08
"[3, 13]",0.8058064401149749,0.9683076923076923,0.016666666666666666
"[3, 14]",0.7397849291563035,0.86,0.15
"[4, 1]",0.7699999868869781,0.9107692307692308,0.1
"[4, 2]",0.761827951669693,0.9040000000000001,0.08
"[4, 3]",0.7984946131706238,0.9480000000000001,0.08
"[4, 4]",0.7622580587863922,0.9006153846153847,0.09666666666666666
"[4, 5]",0.6624731108546257,0.76,0.1933333333333333
"[4, 6]",0.7656989216804504,0.8921538461538461,0.15333333333333332
"[4, 7]",0.749139791727066,0.8770769230769231,0.13333333333333336
"[4, 8]",0.7089247286319733,0.8281538461538462,0.13666666666666666
"[4, 9]",0.8017204284667969,0.944,0.12
"[4, 10]",0.7294623613357544,0.8486153846153845,0.15333333333333335
"[4, 11]",0.7656989216804504,0.908769230769231,0.07333333333333333
"[4, 12]",0.7689247250556945,0.9123076923076925,0.06666666666666667
"[4, 13]",0.65924731194973,0.7683076923076924,0.13666666666666666
"[4, 14]",0.7924731194972991,0.928923076923077,0.13999999999999999
"[5, 1]",0.7984946131706238,0.9559999999999998,0.04
"[5, 2]",0.7984946131706238,0.9560000000000001,0.04
"[5, 3]",0.7921505331993103,0.9281538461538462,0.13333333333333336
"[5, 4]",0.7627956926822662,0.8960000000000001,0.11333333333333333
"[5, 5]",0.7289247274398803,0.8719999999999999,0.04
"[5, 6]",0.7530107438564301,0.8763076923076923,0.14333333333333334
"[5, 7]",0.7853763341903687,0.9403076923076924,0.04
"[5, 8]",0.7755913972854614,0.9087692307692308,0.14
"[5, 9]",0.7254838734865189,0.8521538461538463,0.11666666666666667
"[5, 10]",0.7591397821903229,0.8926153846153847,0.11666666666666665
"[5, 11]",0.7563440799713135,0.8844615384615384,0.13
"[5, 12]",0.7758064508438111,0.9163076923076924,0.09666666666666668
"[5, 13]",0.7127956986427307,0.8163076923076922,0.2166666666666667
"[5, 14]",0.7622580707073212,0.8766153846153847,0.21666666666666665
"[6, 1]",0.8252687990665436,0.9960000000000001,0.0
"[6, 2]",0.8184946119785309,0.984,0.02
"[6, 3]",0.8018279492855072,0.9441538461538462,0.11666666666666667
"[6, 4]",0.7650537550449371,0.908,0.07666666666666666
"[6, 5]",0.7825806379318238,0.9326153846153845,0.056666666666666664
"[6, 6]",0.7497849345207215,0.8567692307692308,0.22000000000000003
"[6, 7]",0.7754838645458222,0.9083076923076924,0.13666666666666666
"[6, 8]",0.7887096703052521,0.9281538461538462,0.11333333333333333
"[6, 9]",0.6996774166822434,0.8121538461538462,0.15666666666666668
"[6, 10]",0.719784951210022,0.821076923076923,0.23000000000000004
"[6, 11]",0.762365585565567,0.8961538461538463,0.12
"[6, 12]",0.6697849377989769,0.7526153846153847,0.2733333333333333
"[6, 13]",0.7717204332351685,0.9119999999999999,0.09333333333333334
"[6, 14]",0.7725806355476379,0.9166153846153847,0.07666666666666667
"[7, 1]",0.8219354748725891,0.9881538461538462,0.02
"[7, 2]",0.7823655843734741,0.9361538461538462,0.03666666666666667
"[7, 3]",0.7858064413070679,0.9321538461538461,0.07333333333333333
"[7, 4]",0.7191397786140442,0.8401538461538461,0.13333333333333333
"[7, 5]",0.7426881670951844,0.86,0.17
"[7, 6]",0.7158064544200897,0.8320000000000001,0.15333333333333335
"[7, 7]",0.7754838705062866,0.9241538461538461,0.056666666666666664
"[7, 8]",0.778602147102356,0.9201538461538462,0.09666666666666668
"[7, 9]",0.7625806391239166,0.8767692307692307,0.20666666666666664
"[7, 10]",0.7561290264129639,0.8970769230769232,0.07666666666666666
"[7, 11]",0.7684946179389953,0.8960000000000001,0.15333333333333332
"[7, 12]",0.742903220653534,0.8733846153846155,0.11666666666666667
"[7, 13]",0.7492473125457764,0.8806153846153848,0.12000000000000002
"[7, 14]",0.6989247292280197,0.8043076923076924,0.20000000000000004
"[8, 1]",0.8218279421329499,0.9879999999999999,0.02
"[8, 2]",0.8184946119785309,0.976153846153846,0.06000000000000001
"[8, 3]",0.7953763365745544,0.9483076923076924,0.056666666666666664
"[8, 4]",0.7683870911598205,0.9079999999999998,0.09666666666666666
"[8, 5]",0.7534408569335938,0.8641538461538462,0.21000000000000002
"[8, 6]",0.7760215044021607,0.9120000000000001,0.11666666666666667
"[8, 7]",0.7455913901329041,0.8766153846153847,0.12000000000000002
"[8, 8]",0.765376341342926,0.8923076923076924,0.15666666666666668
"[8, 9]",0.7627956926822662,0.8886153846153846,0.15666666666666668
"[8, 10]",0.7532258093357086,0.8656923076923076,0.21333333333333332
