Layers,Accuracy,Sensitivity,Specificity
[1],0.610752688172043,0.6716923076923077,0.3333333333333333
[2],0.4552688172043012,0.42276923076923073,0.62
[3],0.5109677419354839,0.5129230769230769,0.5033333333333333
[4],0.5316129032258065,0.5736923076923077,0.32
[5],0.4384946236559141,0.43815384615384617,0.4533333333333333
[6],0.5561290322580645,0.5581538461538461,0.5366666666666667
[7],0.49602150537634415,0.47784615384615375,0.5733333333333334
[8],0.5109677419354839,0.5133846153846156,0.5033333333333334
[9],0.4754838709677419,0.4669230769230769,0.5133333333333334
[10],0.48580645161290326,0.4653846153846154,0.5700000000000001
[11],0.5835483870967741,0.6215384615384616,0.41
[12],0.5145161290322581,0.5292307692307692,0.43666666666666665
[13],0.5353763440860215,0.5509230769230771,0.46333333333333326
[14],0.5181720430107527,0.5461538461538461,0.39
"[1, 1]",0.4247311827956989,0.376,0.64
"[1, 2]",0.5725806451612903,0.608,0.36666666666666664
"[1, 3]",0.627741935483871,0.692,0.3366666666666667
"[1, 4]",0.483763440860215,0.48,0.4966666666666666
"[1, 5]",0.5980645161290322,0.6279999999999999,0.42000000000000004
"[1, 6]",0.5225806451612902,0.532,0.44000000000000006
"[1, 7]",0.44903225806451613,0.4193846153846154,0.6
"[1, 8]",0.5032258064516129,0.49615384615384617,0.5433333333333332
"[1, 9]",0.5231182795698925,0.5336923076923077,0.44333333333333336
"[1, 10]",0.5327956989247312,0.548,0.45999999999999996
"[1, 11]",0.5156989247311828,0.5269230769230769,0.4600000000000001
"[1, 12]",0.6370967741935483,0.6880000000000001,0.3766666666666667
"[1, 13]",0.4844086021505376,0.4763076923076923,0.5166666666666667
"[1, 14]",0.5976344086021504,0.6372307692307693,0.4033333333333333
"[2, 1]",0.4860215053763441,0.4755384615384616,0.54
"[2, 2]",0.490752688172043,0.476,0.55
"[2, 3]",0.4464516129032258,0.413076923076923,0.58
"[2, 4]",0.43430107526881717,0.4032307692307692,0.5599999999999999
"[2, 5]",0.4587096774193548,0.4366153846153846,0.5533333333333333
"[2, 6]",0.4758064516129032,0.47046153846153854,0.5033333333333334
"[2, 7]",0.5950537634408601,0.6413846153846154,0.3633333333333334
"[2, 8]",0.6423655913978494,0.6884615384615385,0.3866666666666667
"[2, 9]",0.36645161290322587,0.30492307692307696,0.6433333333333333
"[2, 10]",0.4763440860215054,0.47569230769230775,0.49000000000000005
"[2, 11]",0.5792473118279571,0.6279999999999999,0.35
